site_id,date,reason
2763,2004-08-15,missing_observed_percent_bleaching
2764,2004-08-15,missing_observed_percent_bleaching
2765,2004-08-15,missing_observed_percent_bleaching
2766,2004-08-15,missing_observed_percent_bleaching
2767,1987-09-15,missing_observed_percent_bleaching
2829,2009-12-15,missing_observed_percent_bleaching
2853,1997-03-15,missing_observed_percent_bleaching
2854,1987-03-15,missing_observed_percent_bleaching
2872,2009-05-15,missing_observed_percent_bleaching
2875,2003-09-14,missing_observed_percent_bleaching
2876,2013-04-24,missing_observed_percent_bleaching
2877,2003-05-27,missing_observed_percent_bleaching
2878,2013-04-20,missing_observed_percent_bleaching
2879,2003-05-22,missing_observed_percent_bleaching
2880,2003-09-23,missing_observed_percent_bleaching
2881,2003-09-21,missing_observed_percent_bleaching
2882,2003-09-18,missing_observed_percent_bleaching
2883,2003-09-17,missing_observed_percent_bleaching
2884,2001-06-05,missing_observed_percent_bleaching
2885,2001-06-06,missing_observed_percent_bleaching
2886,2001-06-07,missing_observed_percent_bleaching
2887,2007-09-20,missing_observed_percent_bleaching
2888,2007-03-24,missing_observed_percent_bleaching
2888,2007-09-16,missing_observed_percent_bleaching
2889,2007-03-24,missing_observed_percent_bleaching
2889,2007-09-24,missing_observed_percent_bleaching
2890,2007-03-31,missing_observed_percent_bleaching
2890,2007-09-16,missing_observed_percent_bleaching
2891,1997-08-11,missing_observed_percent_bleaching
2892,1997-08-01,missing_observed_percent_bleaching
2893,1997-08-04,missing_observed_percent_bleaching
2894,1997-08-06,missing_observed_percent_bleaching
2895,1997-08-02,missing_observed_percent_bleaching
2896,2009-03-31,missing_observed_percent_bleaching
2897,1997-08-03,missing_observed_percent_bleaching
2899,2009-03-27,missing_observed_percent_bleaching
